rank_date,rank,country_full,country_code,total_points,previous_points,previous_rank,confederation
2026-05-27,132.0,Zimbabwe,,1113.613422,,,
2026-05-27,133.0,Guinea-Bissau,,1108.088352,,,
2026-05-27,134.0,Congo,,1105.964661,,,
2026-05-27,135.0,Kuwait,,1105.100165,,,
2026-05-27,136.0,Philippines,,1090.953181,,,
2026-05-27,137.0,Turkmenistan,,1087.524195,,,
2026-05-27,138.0,Central African Republic,,1083.571601,,,
2026-05-27,139.0,Latvia,,1082.682045,,,
2026-05-27,140.0,Liberia,,1081.461817,,,
2026-05-27,141.0,India,,1079.518317,,,
2026-05-27,142.0,Dominican Republic,,1077.493839,,,
2026-05-27,143.0,Lesotho,,1065.967624,,,
2026-05-27,144.0,Botswana,,1062.419241,,,
2026-05-27,145.0,Burundi,,1060.216503,,,
2026-05-27,146.0,Lithuania,,1056.336287,,,
2026-05-27,147.0,Ethiopia,,1055.359727,,,
2026-05-27,148.0,Singapore,,1050.346214,,,
2026-05-27,149.0,Yemen,,1049.491681,,,
2026-05-27,150.0,New Caledonia,,1042.618019,,,
2026-05-27,151.0,Guyana,,1041.902415,,,
2026-05-27,152.0,Solomon Islands,,1039.856334,,,
2026-05-27,153.0,"Hong Kong, China",,1038.138321,,,
2026-05-27,154.0,St Kitts and Nevis,,1035.245318,,,
2026-05-27,155.0,Fiji,,1029.697455,,,
2026-05-27,156.0,Puerto Rico,,1020.06828,,,
2026-05-27,157.0,Tahiti,,1019.036032,,,
2026-05-27,158.0,Moldova,,1012.640887,,,
2026-05-27,159.0,Eswatini,,1010.515262,,,
2026-05-27,160.0,Vanuatu,,997.005704,,,
2026-05-27,161.0,Malta,,996.586113,,,
2026-05-27,162.0,Afghanistan,,991.192649,,,
2026-05-27,163.0,Myanmar,,990.809921,,,
2026-05-27,164.0,Grenada,,989.590097,,,
2026-05-27,165.0,Antigua and Barbuda,,986.584414,,,
2026-05-27,166.0,Cuba,,980.490488,,,
2026-05-27,167.0,St Lucia,,980.284636,,,
2026-05-27,168.0,South Sudan,,977.497012,,,
2026-05-27,169.0,Bermuda,,976.869098,,,
2026-05-27,170.0,Papua New Guinea,,974.9011,,,
2026-05-27,171.0,St Vincent and the Grenadines,,963.741411,,,
2026-05-27,172.0,Andorra,,949.444888,,,
2026-05-27,173.0,Maldives,,945.015919,,,
2026-05-27,174.0,Chinese Taipei,,938.20546,,,
2026-05-27,175.0,Montserrat,,916.75251,,,
2026-05-27,176.0,Mauritius,,915.508167,,,
2026-05-27,177.0,Chad,,914.645784,,,
2026-05-27,178.0,Barbados,,914.421435,,,
2026-05-27,179.0,Cambodia,,911.538277,,,
2026-05-27,180.0,Bangladesh,,911.101888,,,
2026-05-27,181.0,Belize,,910.735564,,,
2026-05-27,182.0,Nepal,,902.520361,,,
2026-05-27,183.0,Dominica,,901.36991,,,
2026-05-27,184.0,American Samoa,,883.167811,,,
2026-05-27,185.0,Mongolia,,879.751523,,,
2026-05-27,186.0,Cook Islands,,877.534995,,,
2026-05-27,187.0,Samoa,,876.407812,,,
2026-05-27,188.0,Brunei Darussalam,,875.781799,,,
2026-05-27,189.0,São Tomé and Príncipe,,871.625471,,,
2026-05-27,190.0,Laos,,871.16129,,,
2026-05-27,191.0,Aruba,,867.942623,,,
2026-05-27,192.0,Bhutan,,867.858049,,,
2026-05-27,193.0,Macau,,865.288885,,,
2026-05-27,194.0,Sri Lanka,,857.397398,,,
2026-05-27,195.0,Cayman Islands,,851.737027,,,
2026-05-27,196.0,Djibouti,,847.029301,,,
2026-05-27,197.0,Tonga,,835.64241,,,
2026-05-27,198.0,Timor-Leste,,835.552414,,,
2026-05-27,199.0,Pakistan,,833.155696,,,
2026-05-27,200.0,Somalia,,828.899031,,,
2026-05-27,201.0,Guam,,823.078898,,,
2026-05-27,202.0,Gibraltar,,818.028018,,,
2026-05-27,203.0,Seychelles,,805.326309,,,
2026-05-27,204.0,Turks and Caicos Islands,,803.980015,,,
2026-05-27,205.0,Liechtenstein,,799.800377,,,
2026-05-27,206.0,Bahamas,,796.597847,,,
2026-05-27,207.0,US Virgin Islands,,776.598184,,,
2026-05-27,208.0,British Virgin Islands,,776.537055,,,
2026-05-27,209.0,Anguilla,,759.782993,,,
2026-05-27,210.0,San Marino,,726.033043,,,
2026-05-27,,Eritrea,,855.562018,,,
